Chapter,Type,Word,Meaning
30,표제어,abandon,"v.버리다, 포기하다"
20,표제어,ability,"n.능력, 재능"
2,표제어,abolish,"v.폐지하다, 없애다"
25,표제어,abroad,ad.해외로
26,표제어,absence,"n.부재, 결석, 결근"
26,연관어,absent,"a.결석한, 없는"
42,표제어,absolute,"a.절대적인, 완전한"
42,연관어,absolutely,"ad.완전히, 전적으로"
47,표제어,absorb,"v.흡수하다, (정보를) 받아들이다"
47,연관어,absorption,"n.흡수, 통합, 몰두"
4,표제어,abstract,a.추상적인
4,연관어,abstraction,"n.추상, 관념"
17,표제어,abundant,"a.풍부한, 풍족한"
17,연관어,abundance,"n.풍부, 풍요"
34,표제어,abuse,"v.남용하다, 오용하다 n.남용, 오용"
34,연관어,abusive,a.학대하는
28,표제어,academic,"a.학업의, 학문의  n.학자"
28,연관어,academically,ad.학문적으로
13,표제어,accelerate,"v.가속하다, 촉진하다"
13,연관어,acceleration,"n.가속, 가속도"
18,표제어,accept,"v.받아들이다, 수용하다"
18,연관어,acceptable,"a.받아들일 수 있는, 허용 가능한"
18,연관어,unacceptable,a.받아들일 수 없는
18,연관어,acceptance,"n.수용, 인정"
13,표제어,access,"n.접근, 이용 "
13,연관어,accessibility,n.접근성
13,연관어,accessible,"a.접근 가능한, 이용 가능한"
12,표제어,accidentally,"ad.우연히, 실수로"
12,연관어,accident,n.사고
12,연관어,accidental,"a.우연한, 뜻하지 않은"
47,표제어,acclaim,n.칭찬
42,표제어,accommodate,"v.수용하다, 편의를 제공하다"
42,연관어,accommodation,"n.숙박, 숙박 시설"
7,표제어,accompany,"v.동행하다, 함께 가다, 동반하다, 반주를 하다"
7,연관어,be accompanied by,v. ~을 동반하다
44,표제어,accomplish,"v.성취하다, 해내다"
44,연관어,accomplished,a.숙달된
44,연관어,accomplishment,"n.달성, 성취, 업적"
44,연관어,according to,전.~에 따르면 
44,연관어,accordingly,"ad.따라서, 그러므로, 그에 따라"
26,표제어,account,"n.설명, 기술, 계좌 v.간주하다, 여기다"
26,연관어,account for,"v.차지하다, 설명하다"
26,연관어,on account of,전구.~ 때문에 
13,표제어,accumulate,"v.축적하다, 축적되다"
13,연관어,accumulation,n.축적 
18,표제어,accurate,a.정확한
18,연관어,accuracy,"n.정확도, 정확성"
18,연관어,accurately,ad.정확하게
4,표제어,accustomed,"a.익숙한, 익숙해진"
4,연관어,accustom,v.익숙하게 하다
4,연관어,be accustomed to,v.~에 익숙하다
42,표제어,achieve,"v.달성하다, 이루다, 성취하다"
42,연관어,achievement,"n.성취, 업적"
1,표제어,acknowledge,v.인정하다
1,연관어,acknowledgment,"n.인정, 승인"
11,표제어,acquaintance,n.지인
11,연관어,acquainted,"a.알게 된, 익숙한"
47,표제어,acquire,"v.얻다, 습득하다"
47,연관어,acquisition,"n.습득, 매입 "
8,표제어,activity,"n.활동, 움직임, 활발함"
8,연관어,act,"v.역할을 하다, 작용하다"
8,연관어,action,"n.행동, 조치"
8,연관어,activate,"v.활성화하다, 작동시키다"
